VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:26:06 PM,02/15/2021 02:32:17 PM,5.0,1.34,1.0,N,236.0,151.0,1.0,6.5,0.0,0.5,1.0,0.0,0.3,10.8,2.5
2,02/15/2021 02:35:45 PM,02/15/2021 02:39:41 PM,3.0,1.1,1.0,N,238.0,75.0,2.0,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
2,02/15/2021 02:10:38 PM,02/15/2021 02:53:22 PM,1.0,5.44,1.0,N,210.0,108.0,1.0,29.0,0.0,0.5,5.96,0.0,0.3,35.76,0.0
2,02/15/2021 02:08:47 PM,02/15/2021 02:11:19 PM,3.0,0.32,1.0,N,141.0,141.0,1.0,3.5,0.0,0.5,1.02,0.0,0.3,7.82,2.5
2,02/15/2021 02:16:03 PM,02/15/2021 02:21:04 PM,3.0,0.83,1.0,N,140.0,263.0,2.0,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
2,02/15/2021 02:58:38 PM,02/15/2021 03:11:26 PM,2.0,0.0,1.0,N,246.0,246.0,2.0,8.5,0.0,0.5,0.0,0.0,0.3,11.8,2.5
2,02/15/2021 02:07:55 PM,02/15/2021 02:17:00 PM,1.0,1.39,1.0,N,263.0,229.0,1.0,7.5,0.0,0.5,1.62,0.0,0.3,12.42,2.5
2,02/15/2021 02:10:13 PM,02/15/2021 02:12:51 PM,1.0,0.46,1.0,N,238.0,239.0,1.0,4.0,0.0,0.5,2.0,0.0,0.3,9.3,2.5
2,02/15/2021 02:58:22 PM,02/15/2021 03:06:22 PM,2.0,1.16,1.0,N,142.0,48.0,1.0,7.0,0.0,0.5,2.0,0.0,0.3,12.3,2.5
2,02/15/2021 02:05:11 PM,02/15/2021 02:14:19 PM,1.0,1.43,1.0,N,141.0,229.0,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
